games,date_game,odd_home_team,odd_away_team
TOR-CHO,2016-01-01,"1,35","3,10"
WAS-ORL,2016-01-01,"1,85","1,95"
BOS-BRK,2016-01-02,"1,18","4,60"
CHO-OKC,2016-01-02,"4,10","1,22"
CLE-ORL,2016-01-02,"1,20","4,50"
DAL-NOP,2016-01-02,"1,55","2,40"
GSW-DEN,2016-01-02,"1,03",11
IND-DET,2016-01-02,"1,50","2,55"
LAC-PHI,2016-01-02,"1,05","9,00"
MIN-MIL,2016-01-02,"1,80","2,00"
SAC-PHO,2016-01-02,"1,32","3,30"
SAS-HOU,2016-01-02,"1,12","6,00"
UTA-MEM,2016-01-02,"2,00","1,80"
DEN-POR,2016-01-03,"2,15","1,70"
LAL-PHO,2016-01-03,"1,95","1,85"
NYK-ATL,2016-01-03,"2,55","1,50"
TOR-CHI,2016-01-03,"1,55","2,40"
WAS-MIA,2016-01-03,"1,95","1,85"
BRK-BOS,2016-01-04,"3,70","1,27"
CLE-TOR,2016-01-04,"1,22","4,10"
DET-ORL,2016-01-04,"1,50","2,55"
GSW-CHO,2016-01-04,"1,08","7,50"
MIA-IND,2016-01-04,"1,75","2,05"
MIL-SAS,2016-01-04,"5,70","1,13"
OKC-SAC,2016-01-04,"1,25","3,80"
PHI-MIN,2016-01-04,"3,10","1,35"
POR-MEM,2016-01-04,"2,00","1,80"
UTA-HOU,2016-01-04,"2,10","1,70"
ATL-NYK,2016-01-05,"1,25","3,80"
CHI-MIL,2016-01-05,"1,22","4,20"
DAL-SAC,2016-01-05,"1,32","3,30"
LAL-GSW,2016-01-05,10,"1,04"
BOS-DET,2016-01-06,"1,60","2,30"
BRK-TOR,2016-01-06,"3,40","1,30"
MIA-NYK,2016-01-06,"1,27","3,70"
MIN-DEN,2016-01-06,"1,60","2,30"
NOP-DAL,2016-01-06,"1,25","3,80"
OKC-MEM,2016-01-06,"1,22","4,10"
ORL-IND,2016-01-06,"2,30","1,60"
PHO-CHO,2016-01-06,"2,10","1,70"
POR-LAC,2016-01-06,"2,40","1,55"
SAS-UTA,2016-01-06,"1,02",12
WAS-CLE,2016-01-06,"3,70","1,27"
CHI-BOS,2016-01-07,"1,35","3,10"
HOU-UTA,2016-01-07,"1,32","3,30"
PHI-ATL,2016-01-07,"4,60","1,18"
SAC-LAL,2016-01-07,"1,22","4,20"
BRK-ORL,2016-01-08,"2,40","1,55"
LAL-OKC,2016-01-08,11,"1,03"
MEM-DEN,2016-01-08,"1,40","2,90"
MIL-DAL,2016-01-08,"1,95","1,85"
MIN-CLE,2016-01-08,"5,20","1,15"
NOP-IND,2016-01-08,"2,10","1,70"
PHO-MIA,2016-01-08,"2,70","1,45"
POR-GSW,2016-01-08,"5,20","1,15"
SAS-NYK,2016-01-08,"1,04",10
WAS-TOR,2016-01-08,"2,05","1,75"
ATL-CHI,2016-01-09,"1,65","2,20"
DET-BRK,2016-01-09,"1,10","6,50"
LAC-CHO,2016-01-09,"1,20","4,40"
ORL-WAS,2016-01-09,"1,65","2,20"
PHI-TOR,2016-01-09,"4,50","1,20"
SAC-GSW,2016-01-09,"4,20","1,22"
UTA-MIA,2016-01-09,"1,90","1,90"
DEN-CHO,2016-01-10,"1,90","1,80"
HOU-IND,2016-01-10,"1,70","2,10"
LAC-NOP,2016-01-10,"1,17","4,80"
LAL-UTA,2016-01-10,"2,40","1,55"
MEM-BOS,2016-01-10,"2,20","1,65"
MIN-DAL,2016-01-10,"2,40","1,55"
NYK-MIL,2016-01-10,"1,40","2,90"
